=== Experiment Summary ===
Feature Folder: trajectory_plots
Timestamp: 2025-05-16_16-44-15
Total Classes: 20
SNR: 0 dB
fd (Doppler shift): 960.0 Hz
Epoch 15 | Train Loss: 2.9073 | Train Accuracy: 11.13% | Validation Loss: 2.7214 | Validation Accuracy: 15.58%
Epoch 16 | Train Loss: 2.7793 | Train Accuracy: 13.86% | Validation Loss: 2.6981 | Validation Accuracy: 16.07%
Epoch 17 | Train Loss: 2.7064 | Train Accuracy: 15.13% | Validation Loss: 2.6614 | Validation Accuracy: 16.99%
Epoch 18 | Train Loss: 2.6556 | Train Accuracy: 16.02% | Validation Loss: 2.5903 | Validation Accuracy: 17.83%
Epoch 19 | Train Loss: 2.6037 | Train Accuracy: 17.05% | Validation Loss: 2.5598 | Validation Accuracy: 18.22%
Epoch 20 | Train Loss: 2.5652 | Train Accuracy: 17.64% | Validation Loss: 2.5166 | Validation Accuracy: 18.98%
Epoch 21 | Train Loss: 2.5354 | Train Accuracy: 18.10% | Validation Loss: 2.5030 | Validation Accuracy: 19.46%
Epoch 22 | Train Loss: 2.5193 | Train Accuracy: 18.61% | Validation Loss: 2.4816 | Validation Accuracy: 19.79%
Epoch 23 | Train Loss: 2.5047 | Train Accuracy: 18.89% | Validation Loss: 2.4751 | Validation Accuracy: 20.29%
Epoch 24 | Train Loss: 2.4919 | Train Accuracy: 19.18% | Validation Loss: 2.4647 | Validation Accuracy: 20.47%
Epoch 25 | Train Loss: 2.4779 | Train Accuracy: 19.43% | Validation Loss: 2.4458 | Validation Accuracy: 20.94%
Epoch 26 | Train Loss: 2.4684 | Train Accuracy: 19.55% | Validation Loss: 2.4364 | Validation Accuracy: 21.27%
Epoch 27 | Train Loss: 2.4561 | Train Accuracy: 19.76% | Validation Loss: 2.4222 | Validation Accuracy: 21.57%
Epoch 28 | Train Loss: 2.4432 | Train Accuracy: 20.01% | Validation Loss: 2.3993 | Validation Accuracy: 22.18%
Epoch 29 | Train Loss: 2.4292 | Train Accuracy: 20.47% | Validation Loss: 2.3902 | Validation Accuracy: 22.49%
Epoch 30 | Train Loss: 2.4193 | Train Accuracy: 20.55% | Validation Loss: 2.3763 | Validation Accuracy: 22.71%
Epoch 31 | Train Loss: 2.4119 | Train Accuracy: 20.96% | Validation Loss: 2.3703 | Validation Accuracy: 22.86%
Epoch 32 | Train Loss: 2.4050 | Train Accuracy: 20.82% | Validation Loss: 2.3661 | Validation Accuracy: 22.93%
Epoch 33 | Train Loss: 2.4011 | Train Accuracy: 20.88% | Validation Loss: 2.3644 | Validation Accuracy: 23.18%
Epoch 34 | Train Loss: 2.3958 | Train Accuracy: 21.21% | Validation Loss: 2.3538 | Validation Accuracy: 23.32%
Epoch 35 | Train Loss: 2.3910 | Train Accuracy: 21.16% | Validation Loss: 2.3536 | Validation Accuracy: 23.50%
Epoch 36 | Train Loss: 2.3859 | Train Accuracy: 21.47% | Validation Loss: 2.3480 | Validation Accuracy: 23.64%
Epoch 37 | Train Loss: 2.3792 | Train Accuracy: 21.72% | Validation Loss: 2.3453 | Validation Accuracy: 23.81%
Epoch 38 | Train Loss: 2.3760 | Train Accuracy: 21.65% | Validation Loss: 2.3394 | Validation Accuracy: 23.89%
Epoch 39 | Train Loss: 2.3703 | Train Accuracy: 21.76% | Validation Loss: 2.3357 | Validation Accuracy: 23.93%
Epoch 40 | Train Loss: 2.3633 | Train Accuracy: 21.98% | Validation Loss: 2.3265 | Validation Accuracy: 24.26%
